Date,Open,High,Low,Close,Adj Close,Volume
02-01-2015,151.5,151.6000061,148.5,149.1699982,149.1699982,3436400
05-01-2015,148.8099976,149,146.7799988,147,147,4168800
06-01-2015,147.6399994,148.5299988,146.1100006,146.8399963,146.8399963,4116100
07-01-2015,147.9400024,149.1399994,147.6499939,148.8800049,148.8800049,4159100
08-01-2015,150.6000061,151.3699951,150.5099945,151.3699951,151.3699951,4282100
09-01-2015,151.6499939,151.6900024,149.2599945,149.4700012,149.4700012,3360200
12-01-2015,149.9600067,150.1199951,147.9499969,148.2799988,148.2799988,5919400
13-01-2015,149.9499969,150.9900055,147.7700043,148.6300049,148.6300049,3908100
14-01-2015,147.2700043,148.3699951,146.4199982,147.8200073,147.8200073,4802800
15-01-2015,148.5299988,148.5299988,146.8000031,147.5800018,147.5800018,2892200
16-01-2015,147.1999969,149.2599945,146.5599976,149.2100067,149.2100067,4313800
20-01-2015,150.2799988,150.6000061,148.0800018,148.6300049,148.6300049,4053300
21-01-2015,148.3399963,148.4299927,146.5899963,147.1799927,147.1799927,4660700
22-01-2015,148.0099945,150.2100067,147.2599945,150.1499939,150.1499939,5892000
23-01-2015,149.9900055,150,149.0899963,149.1199951,149.1199951,3175800
26-01-2015,149.1900024,149.7299957,148.1600037,149.6999969,149.6999969,2461400
27-01-2015,148.25,148.8000031,147.5500031,147.6499939,147.6499939,3220300
28-01-2015,148.3600006,148.7700043,144.7700043,144.7799988,144.7799988,6388800
29-01-2015,145.3999939,146.9400024,144.25,146.2899933,146.2899933,4461200
30-01-2015,145.5700073,146.1999969,143.8899994,143.9100037,143.9100037,6242300
02-02-2015,144.1300049,146.75,143.3000031,146.7299957,146.7299957,5119500
03-02-2015,147.75,148.4799957,146.8600006,148.2899933,148.2899933,4981700
04-02-2015,148.2599945,148.5,147.1000061,147.5299988,147.5299988,3574200
05-02-2015,147.8899994,149.8800049,147.75,149.6699982,149.6699982,3084500
06-02-2015,149.8000031,151.6300049,149.5500031,150.1799927,150.1799927,4050600
09-02-2015,149.9100037,149.9700012,148.7200012,149.1300049,149.1300049,2429700
10-02-2015,149.6600037,150.5099945,148.8999939,149.9199982,149.9199982,2975500
11-02-2015,149.8399963,150.2700043,148.8000031,149.6799927,149.6799927,2732200
12-02-2015,150,150.4100037,149.3600006,149.7899933,149.7899933,3608600
13-02-2015,149.6000061,149.6000061,148.0099945,148.3399963,148.3399963,3669400
17-02-2015,148.3600006,149.3699951,148.1600037,149.1699982,149.1699982,2737300
18-02-2015,148.7799988,149.1300049,148.2200012,148.6699982,148.6699982,2219900
19-02-2015,148.2100067,148.3500061,147.0899963,147.4799957,147.4799957,2757800
